dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown total
Jun 3rd 03:49:54.476 UTC 2 15 40 846 836 112755 3788.042 0 1113.019 935.6268 0 0 49 0 0 3500
Jun 3rd 03:49:40.135 UTC 3 14 40 811 805 107246 3744.312 0 1066.424 882.9854 0 0 100 0 0 1945
Jun 3rd 03:48:54.461 UTC 2 15 40 842 834 112347 3774.109 0 1112.834 935.5018 0 0 49 0 0 3491
Jun 3rd 03:48:40.124 UTC 3 15 39 809 801 106935 3732.102 0 1065.931 882.7789 0 0 100 0 0 1938
Jun 3rd 03:47:54.473 UTC 2 15 40 838 830 111876 3760.84 0 1112.344 935.1174 0 0 49 0 0 3480
Jun 3rd 03:47:40.134 UTC 3 13 39 807 800 106649 3726.151 0 1066.205 882.7259 0 0 100 0 0 1935
Jun 3rd 03:46:54.462 UTC 2 15 40 836 828 111707 3749.202 0 1112.217 934.874 0 0 49 0 0 3470
Jun 3rd 03:46:38.900 UTC 3 15 40 803 797 106029 3715.646 0 1065.492 882.7147 0 0 99 0 0 1929
Jun 3rd 03:45:54.473 UTC 2 15 40 834 825 111518 3734.118 0 1112.095 934.5663 0 0 49 0 0 3461
Jun 3rd 03:45:37.482 UTC 3 15 40 801 795 105735 3702.722 0 1065.073 882.7588 0 0 98 0 0 1922
Jun 3rd 03:44:54.472 UTC 2 15 40 831 821 111249 3717.604 0 1112.02 934.0394 0 0 49 0 0 3452
Jun 3rd 03:44:36.284 UTC 3 13 40 799 793 105467 3692.967 0 1064.804 882.154 0 0 97 0 0 1917
Jun 3rd 03:43:54.468 UTC 2 14 40 830 820 111001 3715.354 0 1111.903 933.8268 0 0 49 0 0 3442
Jun 3rd 03:43:36.299 UTC 3 14 40 799 788 105467 3664.984 0 1064.804 881.2077 0 0 97 0 0 1911
Jun 3rd 03:42:54.467 UTC 2 14 40 826 819 110526 3713.024 0 1111.515 933.7742 0 0 49 0 0 3432
Jun 3rd 03:42:36.289 UTC 3 15 39 796 785 105121 3652.312 0 1064.339 880.7299 0 0 97 0 0 1906
Jun 3rd 03:41:54.467 UTC 2 14 40 822 818 110094 3706.77 0 1111.542 933.779 0 0 49 0 0 3423
Jun 3rd 03:41:36.288 UTC 3 15 40 793 784 104658 3647.094 0 1064.023 880.5302 0 0 97 0 0 1902
Jun 3rd 03:40:54.458 UTC 2 14 40 820 814 109763 3686.822 0 1111.292 933.4944 0 0 49 0 0 3414
Jun 3rd 03:40:36.288 UTC 3 15 39 790 782 104361 3639.158 0 1063.575 880.202 0 0 97 0 0 1895
Jun 3rd 03:39:54.470 UTC 2 15 40 819 811 109703 3673.365 0 1111.166 933.3897 0 0 49 0 0 3404
Jun 3rd 03:39:35.540 UTC 3 14 39 789 779 104281 3622.94 0 1063.235 879.6212 0 0 96 0 0 1890
Jun 3rd 03:38:54.473 UTC 2 15 40 818 809 109477 3667.981 0 1111.173 933.2991 0 0 49 0 0 3393
Jun 3rd 03:38:34.717 UTC 3 15 40 786 777 103776 3612.879 0 1062.647 879.3322 0 0 95 0 0 1885
Jun 3rd 03:37:54.470 UTC 2 15 40 815 807 109109 3656.03 0 1111.089 933.2398 0 0 49 0 0 3383
Jun 3rd 03:37:34.714 UTC 3 15 40 782 776 103253 3607.349 0 1061.677 879.1057 0 0 95 0 0 1881
Jun 3rd 03:36:54.473 UTC 2 14 38 811 806 108629 3654.393 0 1111.017 933.2362 0 0 49 0 0 3374
Jun 3rd 03:36:34.729 UTC 3 14 40 780 776 103084 3607.349 0 1061.52 878.9368 0 0 95 0 0 1873
Jun 3rd 03:35:54.472 UTC 2 15 40 808 802 108218 3633.734 0 1110.774 933.0803 0 0 49 0 0 3366
Jun 3rd 03:35:34.720 UTC 3 15 40 779 773 102975 3590.187 0 1061.394 878.6841 0 0 95 0 0 1868
Jun 3rd 03:34:54.470 UTC 2 15 40 808 798 108218 3611.211 0 1110.774 932.9002 0 0 49 0 0 3360
Jun 3rd 03:34:34.728 UTC 3 15 40 778 770 102798 3576.529 0 1061.23 878.2542 0 0 95 0 0 1858
Jun 3rd 03:33:54.479 UTC 2 15 40 805 797 107865 3606.122 0 1110.583 932.8303 0 0 49 0 0 3350
Jun 3rd 03:33:34.714 UTC 3 15 40 774 768 102055 3573.318 0 1060.759 877.9139 0 0 95 0 0 1853
Jun 3rd 03:32:54.464 UTC 2 15 40 805 794 107865 3595.32 0 1110.583 932.7008 0 0 49 0 0 3342
Jun 3rd 03:32:34.715 UTC 3 14 37 772 767 101837 3566.69 0 1060.81 877.6844 0 0 95 0 0 1846
Jun 3rd 03:31:54.471 UTC 2 15 40 802 792 107353 3587.782 0 1110.342 932.5 0 0 49 0 0 3331
Jun 3rd 03:31:34.723 UTC 3 12 39 770 763 101385 3545.22 0 1060.616 876.931 0 0 95 0 0 1842
Jun 3rd 03:30:54.472 UTC 2 15 40 798 792 106896 3587.782 0 1110.164 932.5 0 0 49 0 0 3321
Jun 3rd 03:30:33.518 UTC 3 15 40 770 759 101385 3523.425 0 1060.616 876.7955 0 0 94 0 0 1838
Jun 3rd 03:29:54.473 UTC 2 14 39 794 790 106450 3580.95 0 1109.284 932.4581 0 0 49 0 0 3312
