dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown total
Jun 5th 23:19:49.679 UTC 3 15 39 827 819 108001 3726.132 12.86 1038.319 858.0586 2 0 117 0 0 1974
Jun 5th 23:19:07.313 UTC 2 15 40 876 869 116265 3774.195 0 1068.398 898.3831 0 0 52 0 0 3477
Jun 5th 23:18:48.768 UTC 3 15 37 824 817 107590 3719.319 12.86 1038.217 858.0787 2 0 116 0 0 1967
Jun 5th 23:18:07.312 UTC 2 13 40 876 868 116265 3772.631 0 1068.398 898.353 0 0 52 0 0 3464
Jun 5th 23:17:47.015 UTC 3 15 40 823 815 107406 3713.565 12.86 1038.149 858.0254 2 0 114 0 0 1964
Jun 5th 23:17:07.301 UTC 2 14 40 872 864 115512 3753.239 0 1068.391 898.2499 0 0 52 0 0 3454
Jun 5th 23:16:47.026 UTC 3 15 37 820 814 106940 3709.723 12.86 1037.753 858.0161 2 0 114 0 0 1958
Jun 5th 23:16:07.312 UTC 2 15 39 871 861 115335 3738.563 0 1068.331 898.1846 0 0 52 0 0 3443
Jun 5th 23:15:47.025 UTC 3 14 40 817 810 106432 3689.999 12.86 1037.767 857.9403 2 0 114 0 0 1953
Jun 5th 23:15:07.311 UTC 2 15 40 868 860 115086 3732.93 0 1068.095 898.1049 0 0 52 0 0 3433
Jun 5th 23:14:47.025 UTC 3 14 39 816 808 106323 3683.464 12.86 1037.637 857.8194 2 0 114 0 0 1950
Jun 5th 23:14:07.310 UTC 2 15 40 865 859 114484 3727.349 0 1068.071 898.0366 0 0 52 0 0 3423
Jun 5th 23:13:47.015 UTC 3 15 40 815 804 106169 3675.61 12.86 1037.533 857.6219 2 0 114 0 0 1946
Jun 5th 23:13:07.301 UTC 2 15 40 864 855 114375 3713.56 0 1067.984 897.8465 0 0 52 0 0 3415
Jun 5th 23:12:46.288 UTC 3 14 38 808 803 105066 3668.028 12.86 1037.254 857.4966 2 0 113 0 0 1939
Jun 5th 23:12:07.301 UTC 2 14 39 861 853 113893 3709.172 0 1067.898 897.7841 0 0 52 0 0 3402
Jun 5th 23:11:46.289 UTC 3 15 40 805 798 104675 3648.888 12.86 1037.009 856.9692 2 0 113 0 0 1936
Jun 5th 23:11:07.322 UTC 2 15 40 859 850 113656 3700.528 0 1067.635 897.629 0 0 52 0 0 3392
