dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown total
Jun 5th 22:59:58.264 UTC 2 15 1 854 846 112148 3730.359 0 193.1099 20.00236 0 1 57 0 0 3443
Jun 5th 22:59:02.472 UTC 3 15 0 790 784 104953 3552.747 5.6 192.9874 13.88351 1 0 137 0 0 1953
Jun 5th 22:58:57.151 UTC 2 15 1 853 844 112088 3719.468 0 193.0171 20.00524 0 1 56 0 0 3432
Jun 5th 22:58:01.534 UTC 3 14 0 789 782 104844 3543.55 5.6 192.9023 13.91831 1 0 136 0 0 1949
Jun 5th 22:57:57.160 UTC 2 15 1 849 844 111636 3719.468 0 192.9387 20.00524 0 1 56 0 0 3421
Jun 5th 22:57:00.633 UTC 3 15 1 788 779 104723 3532.786 5.6 192.78 13.93864 1 0 135 0 0 1944
Jun 5th 22:56:57.158 UTC 2 15 1 847 841 111379 3707.894 0 192.7828 20.01075 0 1 56 0 0 3412
Jun 5th 22:56:00.622 UTC 3 15 1 785 777 104386 3524.904 5.6 192.892 13.91304 1 0 135 0 0 1938
Jun 5th 22:55:57.162 UTC 2 15 0 846 838 111258 3686.788 0 192.793 20.03272 0 1 56 0 0 3403
Jun 5th 22:55:00.633 UTC 3 15 1 782 774 103973 3511.942 5.6 192.8384 13.89588 1 0 135 0 0 1931
Jun 5th 22:54:57.151 UTC 2 15 1 844 836 110878 3679.008 0 192.9528 20.00992 0 1 56 0 0 3394
Jun 5th 22:54:00.633 UTC 3 15 1 779 773 103676 3509.016 5.6 193.0225 13.87788 1 0 135 0 0 1924
Jun 5th 22:53:56.171 UTC 2 15 1 843 833 110818 3663.79 0 192.8617 20.04848 0 1 55 0 0 3387
Jun 5th 22:53:00.632 UTC 3 11 1 778 773 103567 3509.016 5.6 192.9392 13.93026 1 0 135 0 0 1918
Jun 5th 22:52:56.183 UTC 2 15 1 841 829 110490 3650.406 0 192.8851 20.08771 0 1 55 0 0 3379
Jun 5th 22:52:00.632 UTC 3 13 0 775 769 103318 3494.107 5.6 193.0427 13.95802 1 0 135 0 0 1914
Jun 5th 22:51:56.171 UTC 2 15 1 839 827 110136 3642.565 0 192.9307 20.06717 0 1 55 0 0 3366
Jun 5th 22:51:00.622 UTC 3 13 1 773 766 102987 3482.108 5.6 192.9925 13.98577 1 0 135 0 0 1912
Jun 5th 22:50:56.170 UTC 2 15 1 835 826 109571 3640.737 0 192.9008 19.99629 0 1 55 0 0 3354
Jun 5th 22:50:00.632 UTC 3 13 1 771 764 102753 3470.202 5.6 193.2316 14.0035 1 0 135 0 0 1910
Jun 5th 22:49:56.181 UTC 2 15 1 829 823 108956 3634.287 0 192.894 19.9971 0 1 55 0 0 3342
Jun 5th 22:49:00.622 UTC 3 12 1 769 761 102445 3450.073 5.6 193.4434 14.04445 1 0 135 0 0 1903
