dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown total
Jun 8th 22:49:37.827 UTC 3 13 40 1105 1098 145577 3571.873 5.6 289.0909 160.2117 1 0 162 0 0 1980
Jun 8th 22:49:09.051 UTC 2 13 40 1318 1310 171804 3488.991 0 308.1925 203.0479 0 0 160 0 0 3439
Jun 8th 22:48:37.817 UTC 3 12 39 1104 1096 145517 3565.2 5.6 289.1747 160.4497 1 0 162 0 0 1976
Jun 8th 22:48:09.052 UTC 2 15 40 1313 1305 171110 3477.26 0 306.1396 203.3569 0 0 160 0 0 3427
Jun 8th 22:47:36.091 UTC 3 15 40 1102 1090 145114 3550.69 5.6 289.4766 160.7397 1 0 160 0 0 1969
Jun 8th 22:47:09.062 UTC 2 13 40 1309 1304 170464 3474.708 0 306.621 203.7115 0 0 160 0 0 3420
Jun 8th 22:46:36.102 UTC 3 15 40 1097 1089 144565 3546.813 5.6 285.5233 160.8177 1 0 160 0 0 1962
Jun 8th 22:46:09.060 UTC 2 13 39 1305 1300 169892 3465.504 0 307.0893 201.9202 0 0 160 0 0 3410
Jun 8th 22:45:36.102 UTC 3 14 40 1092 1086 144018 3538.806 5.6 286.0514 161.3553 1 0 160 0 0 1955
Jun 8th 22:45:08.062 UTC 2 14 39 1301 1294 169299 3448.151 0 307.7579 202.2543 0 0 159 0 0 3404
Jun 8th 22:44:36.091 UTC 3 15 37 1089 1083 143607 3529.513 5.6 286.4531 161.6278 1 0 160 0 0 1948
Jun 8th 22:44:08.082 UTC 2 15 40 1300 1288 169239 3432.042 0 307.9068 202.872 0 0 159 0 0 3395
Jun 8th 22:43:36.087 UTC 3 14 37 1087 1079 143279 3515.294 5.6 286.684 157.8214 1 0 160 0 0 1943
Jun 8th 22:43:08.069 UTC 2 15 40 1295 1285 168573 3423.672 0 304.2129 203.2593 0 0 159 0 0 3382
Jun 8th 22:42:36.102 UTC 3 15 40 1084 1074 142845 3497.915 5.6 286.9433 158.1414 1 0 160 0 0 1938
Jun 8th 22:42:08.071 UTC 2 15 40 1291 1283 168145 3418.927 0 304.4855 203.5175 0 0 159 0 0 3374
Jun 8th 22:41:36.102 UTC 3 14 39 1081 1072 142596 3492.302 5.6 287.1588 158.4447 1 0 160 0 0 1934
Jun 8th 22:41:08.085 UTC 2 15 40 1285 1280 167501 3412.448 0 305.0121 203.8691 0 0 159 0 0 3363
Jun 8th 22:40:36.091 UTC 3 14 39 1077 1069 141784 3482.476 5.6 287.2753 158.5873 1 0 160 0 0 1931
Jun 8th 22:40:08.073 UTC 2 14 39 1282 1277 167177 3405.533 0 305.5116 199.9192 0 0 159 0 0 3350
Jun 8th 22:39:36.101 UTC 3 15 39 1073 1067 141190 3476.135 5.6 287.3678 158.699 1 0 160 0 0 1925
Jun 8th 22:39:08.071 UTC 2 14 39 1279 1271 166737 3386.284 0 305.7933 200.7592 0 0 159 0 0 3341
Jun 8th 22:38:36.102 UTC 3 14 39 1070 1065 140700 3470.88 5.6 287.5274 158.9561 1 0 160 0 0 1919
Jun 8th 22:38:07.092 UTC 2 15 40 1277 1265 166503 3368.344 0 306.1206 201.0961 0 0 158 0 0 3333
Jun 8th 22:37:36.101 UTC 3 13 39 1067 1062 140307 3462.525 5.6 287.5658 159.5013 1 0 160 0 0 1914
Jun 8th 22:37:06.100 UTC 2 15 40 1274 1262 166142 3362.989 0 302.4795 201.4329 0 0 157 0 0 3325
Jun 8th 22:36:33.787 UTC 3 14 39 1065 1058 140118 3445.963 5.6 287.7241 159.1969 1 0 157 0 0 1908
Jun 8th 22:36:06.100 UTC 2 15 40 1268 1260 165397 3358.541 0 300.0676 201.7101 0 0 157 0 0 3316
Jun 8th 22:35:33.774 UTC 3 14 39 1062 1052 139696 3424.79 5.6 288.1552 159.3561 1 0 157 0 0 1902
Jun 8th 22:35:06.091 UTC 2 15 40 1261 1258 164540 3355.152 0 298.941 202.0228 0 0 157 0 0 3306
Jun 8th 22:34:32.940 UTC 3 15 40 1060 1047 139507 3407.529 5.6 288.4996 159.6625 1 0 156 0 0 1897
Jun 8th 22:34:06.100 UTC 2 14 39 1259 1254 164229 3345.052 0 299.2808 196.1881 0 0 157 0 0 3296
Jun 8th 22:33:32.949 UTC 3 15 40 1060 1046 139507 3405.886 5.6 288.4996 159.8106 1 0 156 0 0 1891
Jun 8th 22:33:06.100 UTC 2 13 39 1258 1249 164120 3331.726 0 299.3083 194.4931 0 0 157 0 0 3286
Jun 8th 22:32:32.949 UTC 3 15 40 1052 1046 138572 3405.886 5.6 287.6395 159.8106 1 0 156 0 0 1884
Jun 8th 22:32:06.111 UTC 2 15 40 1252 1244 163388 3315.422 0 300.2719 194.6729 0 0 157 0 0 3280
