dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown penalties rejecValue avgRejecValue potentialLost avgPotentialLost
Mar 10th 14:45:16.911 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:45:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:44:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:44:09.787 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:43:16.895 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:43:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:42:16.891 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:42:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:41:16.911 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:41:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:40:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:40:09.786 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:39:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:39:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:38:16.891 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:38:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:37:16.900 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:37:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:36:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:36:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:35:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:35:09.786 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:34:16.911 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:34:09.786 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:33:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:33:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:32:16.902 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:32:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:31:16.892 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:31:09.785 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:30:16.911 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:30:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:29:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:29:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:28:16.902 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:28:09.797 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:27:16.892 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:27:09.786 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:26:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:26:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:25:16.900 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:25:09.795 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:24:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:24:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:23:16.891 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:23:09.787 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:22:16.901 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:22:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:21:16.902 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:21:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:20:16.893 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:20:09.786 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:19:16.911 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:19:09.806 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:18:16.903 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:18:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:17:16.902 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
Mar 10th 14:17:09.796 UTC 2 0 0 919 919 2871.531 4026.592 0 488.3539 316.7111 0 0 65 0 0 3855 723.4045 0.9382679 420.3808 0.5452409
Mar 10th 14:16:16.891 UTC 3 0 0 639 639 1678.949 3004.411 6.377211 198.7188 14.22711 1 0 90 0 0 0 0 NaN 0 NaN
