dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 08:29:46.570 UTC 3 13 0 618 613 1623.86 2712.532 0 193.6813 15.57112 0 0 87 0 0 0 NaN
Jun 11th 08:29:29.153 UTC 2 14 40 873 867 2075.034 3759.306 0 956.715 787.0921 0 0 55 0 0 830.0861 2.794903
Jun 11th 08:28:46.570 UTC 3 13 2 617 609 1620.54 2694.621 0 193.6341 15.52397 0 0 87 0 0 0 NaN
Jun 11th 08:28:29.142 UTC 2 14 40 870 864 2070.023 3746.592 0 956.2516 786.8456 0 0 55 0 0 830.0861 2.794903
Jun 11th 08:27:45.516 UTC 3 15 2 614 606 1610.07 2678.914 0 193.325 15.46509 0 0 86 0 0 0 NaN
Jun 11th 08:27:29.140 UTC 2 15 39 868 862 2063.555 3737.105 0 956.1531 786.7556 0 0 55 0 0 829.2861 2.801642
Jun 11th 08:26:45.506 UTC 3 15 2 614 603 1610.07 2661.695 0 193.325 15.31962 0 0 86 0 0 0 NaN
Jun 11th 08:26:29.149 UTC 2 13 40 867 860 2062.617 3730.107 0 955.8713 786.3804 0 0 55 0 0 829.2861 2.801642
Jun 11th 08:25:45.506 UTC 3 15 1 611 602 1605.56 2655.427 0 192.9208 15.25356 0 0 86 0 0 0 NaN
Jun 11th 08:25:29.142 UTC 2 14 40 866 856 2058.725 3711.598 0 955.6222 786.0707 0 0 55 0 0 827.7461 2.805919
Jun 11th 08:24:45.507 UTC 3 15 2 607 600 1593.136 2643.923 0 189.396 15.01181 0 0 86 0 0 0 NaN
Jun 11th 08:24:29.141 UTC 2 15 40 860 853 2046.076 3696.788 0 954.4951 785.7913 0 0 55 0 0 821.6486 2.804261
Jun 11th 08:23:45.496 UTC 3 15 3 605 599 1581.583 2640.123 0 189.2116 14.88788 0 0 86 0 0 0 NaN
Jun 11th 08:23:29.152 UTC 2 15 40 859 851 2044.876 3685.9 0 954.4562 785.3939 0 0 55 0 0 818.106 2.811361
Jun 11th 08:22:45.516 UTC 3 15 4 605 596 1581.583 2629.452 0 189.2116 14.4254 0 0 86 0 0 0 NaN
Jun 11th 08:22:29.150 UTC 2 14 38 858 851 2044.456 3685.9 0 954.244 785.2488 0 0 55 0 0 811.5323 2.80807
Jun 11th 08:21:45.516 UTC 3 14 4 603 595 1578.997 2624.349 0 188.6897 14.13258 0 0 86 0 0 0 NaN
Jun 11th 08:21:29.156 UTC 2 15 39 855 847 2037.183 3667.708 0 953.559 784.7663 0 0 55 0 0 810.9323 2.815737
Jun 11th 08:20:45.528 UTC 3 15 3 600 593 1575.997 2612.532 0 187.8915 14.06526 0 0 86 0 0 0 NaN
Jun 11th 08:20:29.142 UTC 2 15 40 855 844 2037.183 3655.141 0 953.559 784.1187 0 0 55 0 0 798.7485 2.792827
Jun 11th 08:19:45.507 UTC 3 14 1 596 593 1561.693 2612.532 0 187.1614 14.07841 0 0 86 0 0 0 NaN
Jun 11th 08:19:29.144 UTC 2 15 39 850 843 2025.155 3653.042 0 952.1716 783.9511 0 0 55 0 0 798.7485 2.792827
Jun 11th 08:18:45.507 UTC 3 12 1 596 592 1561.693 2605.933 0 187.1614 14.09495 0 0 86 0 0 0 NaN
Jun 11th 08:18:29.132 UTC 2 15 38 847 842 2016.718 3648.615 0 951.3447 783.8287 0 0 55 0 0 798.7485 2.792827
Jun 11th 08:17:44.519 UTC 3 15 4 594 585 1555.36 2572.13 0 186.6827 13.32094 0 0 85 0 0 0 NaN
Jun 11th 08:17:29.153 UTC 2 15 38 844 839 2009.419 3635.034 0 950.5695 783.1868 0 0 55 0 0 795.3885 2.800664
Jun 11th 08:16:44.528 UTC 3 15 5 593 583 1554.76 2559.241 0 186.5941 12.6183 0 0 85 0 0 0 NaN
Jun 11th 08:16:29.145 UTC 2 15 37 843 836 2008.002 3623.699 0 950.1372 782.5358 0 0 55 0 0 795.3885 2.800664
Jun 11th 08:15:44.518 UTC 3 15 7 592 580 1552.28 2548.717 0 186.5054 11.76718 0 0 85 0 0 0 NaN
Jun 11th 08:15:29.136 UTC 2 14 37 841 833 2004.395 3612.428 0 949.6052 781.4953 0 0 55 0 0 795.3885 2.800664
Jun 11th 08:14:44.518 UTC 3 14 7 589 580 1547.29 2548.717 0 186.1731 11.57749 0 0 85 0 0 0 NaN
Jun 11th 08:14:27.829 UTC 2 15 38 838 828 1996.275 3586.755 0 948.5745 780.2006 0 0 54 0 0 795.3885 2.800664
Jun 11th 08:13:44.518 UTC 3 15 6 586 578 1542.58 2538.425 0 185.6263 11.34843 0 0 85 0 0 0 NaN
Jun 11th 08:13:27.829 UTC 2 15 35 835 828 1992.677 3586.755 0 947.951 780.2006 0 0 54 0 0 795.3885 2.800664
Jun 11th 08:12:44.530 UTC 3 15 3 582 577 1527.182 2531.223 0 185.454 11.27027 0 0 85 0 0 0 NaN
Jun 11th 08:12:27.816 UTC 2 14 37 833 825 1986.856 3577.054 0 947.2468 778.9185 0 0 54 0 0 795.3885 2.800664
Jun 11th 08:11:43.744 UTC 3 15 3 581 575 1524.167 2521.031 0 185.2276 11.06395 0 0 84 0 0 0 NaN
Jun 11th 08:11:27.828 UTC 2 15 37 833 821 1986.856 3565.787 0 947.2468 777.9032 0 0 54 0 0 795.3885 2.800664
Jun 11th 08:10:43.744 UTC 3 14 2 579 575 1519.443 2521.031 0 184.6825 11.03751 0 0 84 0 0 0 NaN
Jun 11th 08:10:27.827 UTC 2 15 35 825 820 1972.559 3560.215 0 944.9247 777.5715 0 0 54 0 0 795.3885 2.800664
Jun 11th 08:09:43.754 UTC 3 13 0 578 573 1517.672 2516.649 0 184.5605 11.04977 0 0 84 0 0 0 NaN
Jun 11th 08:09:27.826 UTC 2 15 40 824 815 1970.7 3531.779 0 944.4757 775.9194 0 0 54 0 0 795.3885 2.800664
Jun 11th 08:08:43.743 UTC 3 12 0 577 571 1516.872 2510.519 0 184.7433 11.09468 0 0 84 0 0 0 NaN
Jun 11th 08:08:27.817 UTC 2 15 40 821 814 1967.584 3525.039 0 943.4359 775.5635 0 0 54 0 0 791.1785 2.815582
Jun 11th 08:07:42.152 UTC 3 14 0 572 569 1496.716 2499.57 0 184.6926 11.09468 0 0 82 0 0 0 NaN
Jun 11th 08:07:27.827 UTC 2 15 38 821 814 1967.584 3525.039 0 943.4359 775.5635 0 0 54 0 0 791.1785 2.815582
Jun 11th 08:06:42.150 UTC 3 15 0 572 566 1496.716 2487.243 0 184.6926 11.12923 0 0 82 0 0 0 NaN
Jun 11th 08:06:27.826 UTC 2 14 38 818 811 1959.248 3512.651 0 942.511 774.4374 0 0 54 0 0 791.1785 2.815582
Jun 11th 08:05:42.150 UTC 3 12 0 571 565 1495.081 2481.372 0 184.7459 11.15408 0 0 82 0 0 0 NaN
Jun 11th 08:05:27.818 UTC 2 15 40 818 807 1959.248 3491.054 0 942.511 773.4151 0 0 54 0 0 791.1785 2.815582
