dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 12:49:36.301 UTC 3 14 1 617 609 1613.46 2819.027 0 195.528 10.59094 0 1 93 0 0 0 NaN
Jun 11th 12:49:06.773 UTC 2 15 39 852 842 2724.026 3699.425 0 425.4038 252.4352 0 0 51 0 0 337.975 0.5398962
Jun 11th 12:48:36.302 UTC 3 14 0 616 608 1612.26 2815.246 0 195.4019 10.60618 0 1 93 0 0 0 NaN
Jun 11th 12:48:06.773 UTC 2 15 37 850 841 2720.082 3695.742 0 422.2975 252.7223 0 0 51 0 0 337.975 0.5398962
Jun 11th 12:47:36.290 UTC 3 13 0 614 606 1610.16 2805.867 0 195.192 10.63765 0 1 93 0 0 0 NaN
Jun 11th 12:47:04.764 UTC 2 15 38 846 839 2704.973 3686.278 0 423.6236 252.6416 0 0 49 0 0 337.975 0.5398962
Jun 11th 12:46:35.404 UTC 3 11 1 614 606 1610.16 2805.867 0 195.192 10.66851 0 1 92 0 0 0 NaN
Jun 11th 12:46:04.762 UTC 2 15 38 845 836 2702.318 3670.261 0 423.8523 249.9785 0 0 49 0 0 337.975 0.5398962
Jun 11th 12:45:34.651 UTC 3 13 0 610 603 1604.475 2788.846 0 195.0042 10.67573 0 1 91 0 0 0 NaN
Jun 11th 12:45:04.762 UTC 2 15 39 844 834 2698.853 3664.495 0 424.1518 250.4621 0 0 49 0 0 335.1551 0.5379696
Jun 11th 12:44:34.642 UTC 3 14 0 608 601 1596.353 2776.209 0 194.8999 10.69067 0 1 91 0 0 0 NaN
Jun 11th 12:44:04.751 UTC 2 15 38 839 833 2676.083 3660.458 0 425.3757 250.7366 0 0 49 0 0 334.3551 0.5375484
Jun 11th 12:43:34.651 UTC 3 14 1 607 598 1594.813 2759.701 0 194.7854 10.70646 0 1 91 0 0 0 NaN
