dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 23:09:32.370 UTC 3 11 0 635 630 1642.383 2883.801 5.008 189.7578 9.423298 1 0 91 0 0 0 NaN
Jun 11th 23:09:14.991 UTC 2 15 39 836 827 2730.838 3721.662 0 370.7965 193.8925 0 0 60 0 0 285.3696 0.4853224
Jun 11th 23:08:32.369 UTC 3 11 0 633 628 1637.906 2872.84 5.008 189.9058 9.427431 1 0 91 0 0 0 NaN
Jun 11th 23:08:15.008 UTC 2 15 39 833 824 2720.991 3706.667 0 371.3234 193.8056 0 0 60 0 0 285.3696 0.4853224
Jun 11th 23:07:32.379 UTC 3 13 0 631 623 1635.356 2846.838 5.008 189.9222 9.457217 1 0 91 0 0 0 NaN
Jun 11th 23:07:15.001 UTC 2 14 38 831 823 2715.681 3704.717 0 371.6287 194.1317 0 0 60 0 0 285.3696 0.4853224
Jun 11th 23:06:32.379 UTC 3 11 0 630 623 1634.156 2846.838 5.008 189.9021 9.475707 1 0 91 0 0 0 NaN
Jun 11th 23:06:14.994 UTC 2 15 40 829 820 2712.111 3688.679 0 371.2713 194.4808 0 0 60 0 0 281.7343 0.4815972
Jun 11th 23:05:32.369 UTC 3 9 1 629 623 1630.173 2846.838 5.008 190.0386 9.49269 1 0 91 0 0 0 NaN
Jun 11th 23:05:15.007 UTC 2 15 39 827 819 2701.97 3683.713 0 371.7699 194.4851 0 0 60 0 0 279.5073 0.4794293
Jun 11th 23:04:31.617 UTC 3 10 0 625 621 1621.998 2836.161 5.008 190.0684 9.507156 1 0 90 0 0 0 NaN
Jun 11th 23:04:15.005 UTC 2 14 39 823 818 2682.512 3681.764 0 372.2354 194.6681 0 0 60 0 0 279.5073 0.4794293
Jun 11th 23:03:31.620 UTC 3 9 1 625 620 1621.998 2828.477 5.008 190.0684 9.525164 1 0 90 0 0 0 NaN
Jun 11th 23:03:15.002 UTC 2 15 40 822 814 2679.812 3665.131 0 372.3672 195.2622 0 0 60 0 0 275.7884 0.4754973
Jun 11th 23:02:31.615 UTC 3 11 0 623 616 1618.338 2804.55 5.008 190.0016 9.552889 1 0 90 0 0 0 NaN
Jun 11th 23:02:15.005 UTC 2 14 40 819 813 2667.9 3659.355 0 372.543 195.0986 0 0 60 0 0 275.2411 0.4753733
Jun 11th 23:01:30.164 UTC 3 12 1 622 614 1615.027 2789.903 5.008 189.7033 9.5612 1 0 89 0 0 0 NaN
Jun 11th 23:01:15.003 UTC 2 15 39 816 810 2653.53 3648.531 0 373.1141 195.3235 0 0 60 0 0 275.2411 0.4753733
Jun 11th 23:00:28.862 UTC 3 11 0 622 614 1615.027 2789.903 5.008 189.7033 9.565463 1 0 88 0 0 0 NaN
Jun 11th 23:00:15.003 UTC 2 15 39 814 807 2642.887 3632.598 0 373.674 195.897 0 0 60 0 0 275.1026 0.475956
Jun 11th 22:59:28.878 UTC 3 11 0 619 613 1607.347 2785.438 5.008 189.4712 9.578199 1 0 88 0 0 0 NaN
Jun 11th 22:59:15.004 UTC 2 14 39 813 805 2634.517 3622.657 0 373.9189 196.5699 0 0 60 0 0 274.3481 0.4754732
Jun 11th 22:58:28.870 UTC 3 12 0 617 611 1603.492 2780.785 5.008 189.2481 9.592588 1 0 88 0 0 0 NaN
Jun 11th 22:58:14.996 UTC 2 15 40 811 799 2633.302 3587.986 0 368.3346 197.0411 0 0 60 0 0 273.3132 0.4745021
Jun 11th 22:57:27.603 UTC 3 15 0 615 608 1599.95 2767.029 5.008 189.2457 9.592588 1 0 87 0 0 0 NaN
Jun 11th 22:57:15.010 UTC 2 15 38 809 799 2630.412 3587.986 0 366.7608 197.0411 0 0 60 0 0 271.7293 0.4733961
Jun 11th 22:56:27.590 UTC 3 15 3 613 605 1595.071 2756.268 5.008 189.0812 9.436002 1 0 87 0 0 0 NaN
Jun 11th 22:56:15.000 UTC 2 15 34 807 798 2626.362 3582.759 0 366.3732 197.2566 0 0 60 0 0 271.7293 0.4733961
Jun 11th 22:55:26.683 UTC 3 15 0 611 604 1590.151 2755.301 5.008 189.2968 9.395737 1 0 86 0 0 0 NaN
Jun 11th 22:55:14.999 UTC 2 15 33 803 798 2617.685 3582.759 0 366.7071 197.2566 0 0 60 0 0 271.7293 0.4733961
Jun 11th 22:54:26.683 UTC 3 14 0 606 602 1574.954 2748.794 5.008 189.4729 9.41373 1 0 86 0 0 0 NaN
Jun 11th 22:54:14.069 UTC 2 14 36 802 795 2612.6 3569.027 0 366.9178 190.1176 0 0 59 0 0 271.7293 0.4733961
Jun 11th 22:53:25.846 UTC 3 10 1 606 601 1574.954 2746.452 5.008 189.4729 9.454091 1 0 85 0 0 0 NaN
Jun 11th 22:53:14.060 UTC 2 15 39 800 791 2605.317 3548.202 0 367.1284 189.8679 0 0 59 0 0 271.7293 0.4733961
Jun 11th 22:52:25.864 UTC 3 8 0 604 600 1565.016 2742.016 5.008 189.5909 9.468566 1 0 85 0 0 0 NaN
Jun 11th 22:52:14.058 UTC 2 13 39 798 791 2600.817 3548.202 0 367.3576 190.001 0 0 59 0 0 271.7293 0.4733961
Jun 11th 22:51:25.866 UTC 3 10 0 602 597 1560.269 2728.279 5.008 189.6809 9.479925 1 0 85 0 0 0 NaN
Jun 11th 22:51:14.060 UTC 2 15 40 797 786 2599.047 3517.5 0 367.4016 190.6158 0 0 59 0 0 268.5917 0.4703883
Jun 11th 22:50:24.214 UTC 3 12 0 601 594 1556.59 2710.376 5.008 189.6533 9.481514 1 0 83 0 0 0 NaN
Jun 11th 22:50:14.069 UTC 2 15 40 794 786 2589.803 3517.5 0 367.8134 190.6158 0 0 59 0 0 265.808 0.4679719
Jun 11th 22:49:24.223 UTC 3 11 1 600 593 1555.99 2709.036 5.008 189.8706 9.496758 1 0 83 0 0 0 NaN
Jun 11th 22:49:14.067 UTC 2 15 39 792 784 2585.138 3506.513 0 367.9844 190.9581 0 0 59 0 0 265.808 0.4679719
Jun 11th 22:48:24.223 UTC 3 9 1 598 592 1553.155 2703.547 5.008 189.94 9.5115 1 0 83 0 0 0 NaN
Jun 11th 22:48:14.058 UTC 2 15 41 791 783 2583.598 3501.344 0 366.657 191.1662 0 0 59 0 0 263.3171 0.466048
Jun 11th 22:47:24.213 UTC 3 9 1 596 590 1550.585 2695.551 5.008 190.2062 9.515617 1 0 83 0 0 0 NaN
Jun 11th 22:47:13.152 UTC 2 15 40 786 781 2570.108 3490.816 0 362.3329 191.4697 0 0 58 0 0 263.3171 0.466048
Jun 11th 22:46:24.214 UTC 3 9 1 594 588 1546.735 2690.512 5.008 190.4052 9.536416 1 0 83 0 0 0 NaN
Jun 11th 22:46:13.150 UTC 2 15 38 786 780 2570.108 3489.246 0 362.3329 191.6202 0 0 58 0 0 263.3171 0.466048
Jun 11th 22:45:23.466 UTC 3 10 0 593 586 1545.385 2682.492 5.008 190.1595 9.543953 1 0 82 0 0 0 NaN
Jun 11th 22:45:13.151 UTC 2 15 40 784 777 2566.683 3477.931 0 360.7299 192.1685 0 0 58 0 0 261.0259 0.464459
Jun 11th 22:44:22.865 UTC 3 11 1 589 584 1536.147 2675.309 5.008 190.1625 9.558213 1 0 81 0 0 0 NaN
Jun 11th 22:44:13.160 UTC 2 14 39 781 776 2556.821 3472.777 0 361.4465 187.2173 0 0 58 0 0 261.0259 0.464459
Jun 11th 22:43:22.866 UTC 3 10 0 589 584 1536.147 2675.309 5.008 190.1625 9.566815 1 0 81 0 0 0 NaN
Jun 11th 22:43:13.151 UTC 2 15 36 779 773 2552.501 3458.516 0 360.7819 187.6384 0 0 58 0 0 261.0259 0.464459
Jun 11th 22:42:22.875 UTC 3 9 0 586 584 1529.075 2675.309 5.008 190.097 9.578821 1 0 81 0 0 0 NaN
Jun 11th 22:42:11.385 UTC 2 13 38 778 771 2544.131 3449.112 0 361.0713 186.3298 0 0 56 0 0 261.0259 0.464459
Jun 11th 22:41:22.873 UTC 3 8 0 584 583 1525.272 2672.609 5.008 190.247 9.596979 1 0 81 0 0 0 NaN
Jun 11th 22:41:11.394 UTC 2 15 40 776 765 2530.53 3420.976 0 361.4544 185.2181 0 0 56 0 0 257.3682 0.4604083
Jun 11th 22:40:22.036 UTC 3 7 1 584 582 1525.272 2665.19 5.008 190.247 9.611294 1 0 80 0 0 0 NaN
Jun 11th 22:40:11.385 UTC 2 15 39 773 764 2514.51 3418.464 0 362.1806 185.447 0 0 56 0 0 257.419 0.4613243
Jun 11th 22:39:21.304 UTC 3 6 0 584 580 1525.272 2656.893 5.008 190.247 9.617503 1 0 79 0 0 0 NaN
Jun 11th 22:39:11.384 UTC 2 14 39 773 763 2514.51 3417.568 0 362.1806 185.8591 0 0 56 0 0 257.419 0.4613243
Jun 11th 22:38:21.304 UTC 3 5 0 582 579 1517.203 2649.445 5.008 190.621 9.637899 1 0 79 0 0 0 NaN
Jun 11th 22:38:11.396 UTC 2 15 40 767 759 2497.875 3398.836 0 362.3692 186.4417 0 0 56 0 0 256.6572 0.460785
Jun 11th 22:37:21.303 UTC 3 5 0 582 577 1517.203 2644.055 5.008 190.621 9.656755 1 0 79 0 0 0 NaN
Jun 11th 22:37:11.386 UTC 2 14 40 763 758 2488.415 3397.278 0 359.7073 186.7995 0 0 56 0 0 256.8682 0.4653409
Jun 11th 22:36:20.305 UTC 3 7 0 582 575 1517.203 2639.029 5.008 190.621 9.656755 1 0 78 0 0 0 NaN
Jun 11th 22:36:11.386 UTC 2 15 39 762 756 2485.963 3388.506 0 360.0339 187.003 0 0 56 0 0 254.0857 0.4628155
Jun 11th 22:35:20.316 UTC 3 9 0 580 573 1513.542 2634.21 5.008 190.5821 9.656755 1 0 78 0 0 0 NaN
Jun 11th 22:35:11.376 UTC 2 15 40 759 752 2475.849 3374.043 0 360.8752 186.5931 0 0 56 0 0 252.4207 0.4614639
Jun 11th 22:34:20.315 UTC 3 10 1 577 571 1505.907 2620.712 5.008 190.7529 9.660226 1 0 78 0 0 0 NaN
Jun 11th 22:34:11.395 UTC 2 14 38 756 750 2468.927 3362.457 0 361.5896 184.3408 0 0 56 0 0 252.4207 0.4614639
Jun 11th 22:33:20.304 UTC 3 11 0 574 569 1495.749 2608.417 5.008 190.8572 9.675714 1 0 78 0 0 0 NaN
Jun 11th 22:33:10.334 UTC 2 14 40 756 745 2468.927 3338.064 0 361.5896 185.0674 0 0 55 0 0 252.4207 0.4614639
Jun 11th 22:32:19.438 UTC 3 12 1 573 566 1493.949 2585.444 5.008 190.9961 9.685789 1 0 77 0 0 0 NaN
Jun 11th 22:32:10.348 UTC 2 15 39 753 743 2461.502 3332.052 0 361.8965 185.2972 0 0 55 0 0 251.0197 0.459743
Jun 11th 22:31:18.795 UTC 3 12 1 573 564 1493.949 2575.8 5.008 190.9961 9.713591 1 0 76 0 0 0 NaN
Jun 11th 22:31:10.338 UTC 2 15 39 751 742 2456.537 3329.294 0 362.4319 185.5183 0 0 55 0 0 249.9622 0.4586462
Jun 11th 22:30:18.795 UTC 3 12 0 572 563 1492.314 2570.682 5.008 190.9952 9.719726 1 0 76 0 0 0 NaN
