dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 09:59:57.887 UTC 2 14 40 954 947 2492.646 3692.169 0 303.69 150.1315 0 0 76 0 0 379.2752 1.965157
Jun 11th 09:59:52.399 UTC 3 6 0 617 611 1642.483 2781.639 11.48871 193.3086 11.92881 2 2 79 0 0 0 NaN
Jun 11th 09:58:57.877 UTC 2 14 39 950 943 2483.232 3678.515 0 304.1089 150.5569 0 0 76 0 0 379.2752 1.965157
Jun 11th 09:58:52.398 UTC 3 6 0 616 610 1640.713 2776.983 11.48871 193.199 11.94434 2 2 79 0 0 0 NaN
Jun 11th 09:57:56.754 UTC 2 14 40 946 939 2465.442 3666.634 0 304.6041 150.9837 0 0 75 0 0 379.2752 1.975392
Jun 11th 09:57:52.411 UTC 3 8 0 615 608 1638.261 2767.311 11.48871 193.3847 11.94434 2 2 79 0 0 0 NaN
Jun 11th 09:56:56.743 UTC 2 14 40 945 936 2459.862 3648.929 0 304.8257 151.4451 0 0 75 0 0 379.2752 1.996185
Jun 11th 09:56:51.360 UTC 3 10 1 614 605 1636.626 2753.092 11.48871 193.182 11.95978 2 2 78 0 0 0 NaN
Jun 11th 09:55:56.743 UTC 2 15 38 940 934 2446.832 3637.997 0 305.4028 151.587 0 0 75 0 0 373.3015 1.97514
Jun 11th 09:55:51.352 UTC 3 15 0 611 600 1629.283 2725.68 11.48871 193.4956 11.95978 2 2 78 0 0 0 NaN
Jun 11th 09:54:56.753 UTC 2 15 39 939 930 2445.032 3625.443 0 305.5749 151.8069 0 0 75 0 0 373.3015 1.97514
Jun 11th 09:54:51.363 UTC 3 13 0 610 599 1628.383 2722.585 11.48871 193.4986 12.00498 2 2 78 0 0 0 NaN
Jun 11th 09:53:56.744 UTC 2 13 40 938 928 2442.772 3616.156 0 305.844 152.372 0 0 75 0 0 373.3015 1.97514
Jun 11th 09:53:50.432 UTC 3 12 0 610 599 1628.383 2722.585 11.48871 193.4986 12.01419 2 2 77 0 0 0 NaN
Jun 11th 09:52:55.202 UTC 2 15 40 933 925 2429.962 3602.499 0 299.2125 152.5204 0 0 74 0 0 366.3272 1.969501
Jun 11th 09:52:50.423 UTC 3 12 0 605 598 1615.679 2716.889 11.48871 192.9018 12.02569 2 2 77 0 0 0 NaN
Jun 11th 09:51:55.193 UTC 2 15 38 931 923 2422.425 3591.157 0 299.2952 152.6541 0 0 74 0 0 366.3272 1.969501
Jun 11th 09:51:50.424 UTC 3 12 1 602 596 1609.399 2707.181 11.48871 192.7558 12.04699 2 2 77 0 0 0 NaN
Jun 11th 09:50:55.210 UTC 2 15 36 927 922 2411.869 3588.458 0 299.5753 152.8139 0 0 74 0 0 366.3272 1.969501
Jun 11th 09:50:49.606 UTC 3 12 1 600 594 1601.659 2701.677 11.48871 192.765 12.07003 2 2 76 0 0 0 NaN
Jun 11th 09:49:55.200 UTC 2 14 33 926 922 2409.417 3588.458 0 299.5743 152.9763 0 0 74 0 0 366.3272 1.969501
Jun 11th 09:49:49.607 UTC 3 13 0 600 593 1601.659 2699.8 11.48871 192.765 12.07003 2 2 76 0 0 0 NaN
Jun 11th 09:48:55.201 UTC 2 15 37 925 915 2401.046 3563.461 0 299.6836 146.5899 0 0 74 0 0 366.3272 1.969501
Jun 11th 09:48:48.882 UTC 3 10 1 596 592 1589.684 2694.267 11.48871 193.1592 12.1149 2 2 75 0 0 0 NaN
Jun 11th 09:47:55.202 UTC 2 15 37 920 912 2384.657 3552.529 0 299.9007 146.767 0 0 74 0 0 366.3272 1.969501
Jun 11th 09:47:48.891 UTC 3 9 1 596 591 1589.684 2688.899 11.48871 193.1592 12.13713 2 2 75 0 0 0 NaN
