dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:49:27.326 UTC 3 8 0 621 615 1576.893 2840.372 5 195.911 11.05506 1 1 81 0 0 0 0 NaN
Jun 12th 16:49:19.478 UTC 2 15 39 867 860 2075.15 3748.442 0 973.728 803.3122 0 0 60 0 0 1500 769.8032 2.566011
Jun 12th 16:48:27.335 UTC 3 9 0 618 612 1572.003 2829.71 5 195.3447 11.08061 1 1 81 0 0 0 0 NaN
Jun 12th 16:48:19.471 UTC 2 15 39 866 857 2073.71 3730.438 0 973.782 803.0328 0 0 60 0 0 1500 769.8032 2.566011
Jun 12th 16:47:26.542 UTC 3 9 0 617 612 1569.55 2829.71 5 195.5806 11.08061 1 1 80 0 0 0 0 NaN
Jun 12th 16:47:19.468 UTC 2 13 40 862 855 2066.513 3717.198 0 973.5688 802.7595 0 0 60 0 0 1495 765.8207 2.561273
Jun 12th 16:46:26.531 UTC 3 9 1 614 610 1554.475 2822.335 5 195.8141 11.10034 1 1 80 0 0 0 0 NaN
Jun 12th 16:46:18.317 UTC 2 14 40 861 852 2065.423 3705.458 0 973.5858 802.5919 0 0 59 0 0 1490 763.3682 2.561638
Jun 12th 16:45:26.541 UTC 3 9 0 614 609 1554.475 2818.634 5 195.8141 11.10224 1 1 80 0 0 0 0 NaN
Jun 12th 16:45:18.306 UTC 2 15 40 859 851 2062.099 3699.985 0 973.4843 802.5919 0 0 59 0 0 1470 753.3707 2.562485
Jun 12th 16:44:26.541 UTC 3 7 1 612 608 1551.505 2816.837 5 195.806 11.137 1 1 80 0 0 0 0 NaN
Jun 12th 16:44:18.307 UTC 2 15 40 857 849 2058.932 3691.867 0 973.2397 802.5867 0 0 59 0 0 1465 749.692 2.558676
Jun 12th 16:43:26.531 UTC 3 10 0 610 604 1539.815 2796.918 5 196.038 11.13889 1 1 80 0 0 0 0 NaN
Jun 12th 16:43:18.297 UTC 2 13 40 854 847 2050.93 3680.433 0 972.8239 802.476 0 0 59 0 0 1465 749.692 2.558676
Jun 12th 16:42:26.532 UTC 3 10 0 609 603 1538.615 2794.202 5 196.1105 11.14894 1 1 80 0 0 0 0 NaN
Jun 12th 16:42:18.315 UTC 2 14 40 851 845 2040.283 3668.68 0 972.4774 802.4454 0 0 59 0 0 1445 740.3994 2.561936
Jun 12th 16:41:26.542 UTC 3 8 1 609 603 1538.615 2794.202 5 196.1105 11.16594 1 1 80 0 0 0 0 NaN
Jun 12th 16:41:18.304 UTC 2 14 38 850 844 2038.258 3664.178 0 972.3171 802.4717 0 0 59 0 0 1445 740.3994 2.561936
Jun 12th 16:40:25.839 UTC 3 11 0 608 599 1537.275 2772.267 5 196.1806 11.17449 1 1 79 0 0 0 0 NaN
Jun 12th 16:40:18.304 UTC 2 15 40 850 839 2038.258 3644.68 0 972.3171 802.1125 0 0 59 0 0 1435 733.2256 2.554793
Jun 12th 16:39:25.849 UTC 3 10 0 604 598 1529.657 2767.624 5 196.0593 11.20694 1 1 79 0 0 0 0 NaN
Jun 12th 16:39:18.306 UTC 2 15 39 845 838 2032.231 3638.4 0 971.4645 801.9733 0 0 59 0 0 1430 731.8757 2.559006
