dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:39:43.505 UTC 3 13 0 644 638 1664.608 2854.303 0 195.7859 17.13389 0 0 86 0 0 0 0 NaN
Jun 12th 16:39:30.139 UTC 2 15 37 834 827 2661.039 3702.235 0 352.8843 176.6518 0 0 60 0 0 4780 511.4763 0.535017
Jun 12th 16:38:43.504 UTC 3 12 1 642 637 1661.638 2850.273 0 195.7024 17.16675 0 0 86 0 0 0 0 NaN
Jun 12th 16:38:30.149 UTC 2 15 38 833 823 2655.066 3681.828 0 353.0147 176.8875 0 0 60 0 0 4780 511.4763 0.535017
Jun 12th 16:37:43.494 UTC 3 11 0 639 635 1656.193 2837.056 0 195.4915 17.21563 0 0 86 0 0 0 0 NaN
Jun 12th 16:37:30.148 UTC 2 15 38 828 820 2635.478 3670.017 0 353.7454 177.2138 0 0 60 0 0 4780 511.4763 0.535017
Jun 12th 16:36:43.495 UTC 3 11 1 638 632 1652.514 2825.207 0 195.5031 17.26029 0 0 86 0 0 0 0 NaN
Jun 12th 16:36:30.140 UTC 2 14 39 827 818 2633.025 3655.597 0 353.8061 177.6878 0 0 60 0 0 4780 511.4763 0.535017
Jun 12th 16:35:43.509 UTC 3 12 1 636 630 1645.115 2815.547 0 195.7285 17.27899 0 0 86 0 0 0 0 NaN
Jun 12th 16:35:28.866 UTC 2 15 37 824 816 2625.053 3643.933 0 354.2724 177.8983 0 0 59 0 0 4775 510.9268 0.5350019
Jun 12th 16:34:42.333 UTC 3 11 0 635 630 1643.09 2815.547 0 195.7488 17.29308 0 0 85 0 0 0 0 NaN
Jun 12th 16:34:28.865 UTC 2 14 37 822 814 2615.873 3637.714 0 354.419 178.2321 0 0 59 0 0 4775 510.9268 0.5350019
Jun 12th 16:33:42.326 UTC 3 9 1 633 628 1639.275 2804.921 0 195.9235 17.37803 0 0 85 0 0 0 0 NaN
Jun 12th 16:33:27.627 UTC 2 15 44 820 811 2608.988 3627.119 0 354.7016 178.2708 0 0 58 0 0 4740 508.4524 0.5363422
Jun 12th 16:32:42.336 UTC 3 11 0 632 626 1637.265 2792.772 0 195.8484 17.37803 0 0 85 0 0 0 0 NaN
Jun 12th 16:32:27.636 UTC 2 15 42 819 808 2604.466 3612.912 0 354.8508 178.5752 0 0 58 0 0 4660 508.0002 0.5450646
Jun 12th 16:31:42.336 UTC 3 10 1 631 624 1633.954 2786.559 0 195.4421 17.43353 0 0 85 0 0 0 0 NaN
Jun 12th 16:31:27.627 UTC 2 15 40 814 808 2583.875 3612.912 0 354.9984 178.5752 0 0 58 0 0 4645 508.0231 0.5468494
Jun 12th 16:30:42.329 UTC 3 11 0 629 622 1630.389 2773.342 0 195.3631 17.44634 0 0 85 0 0 0 0 NaN
