dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:49:38.466 UTC 2 15 39 935 926 2477.207 3686.619 0 290.4713 136.1331 0 0 79 0 0 1035 371.1852 1.793165
Jun 12th 16:49:30.856 UTC 3 13 0 601 594 1569.929 2767.528 10 199.7059 14.87311 2 2 87 0 0 0 0 NaN
Jun 12th 16:48:38.454 UTC 2 14 36 929 926 2458.958 3686.619 0 290.4192 134.9005 0 0 79 0 0 1035 371.1852 1.793165
Jun 12th 16:48:30.847 UTC 3 13 0 600 592 1568.159 2761.669 10 199.5937 14.9052 2 2 87 0 0 0 0 NaN
Jun 12th 16:47:38.465 UTC 2 12 39 928 922 2456.303 3667.46 0 290.6154 134.9993 0 0 79 0 0 1035 371.1852 1.793165
Jun 12th 16:47:30.854 UTC 3 13 0 598 590 1563.229 2758.172 10 199.6619 14.93914 2 2 87 0 0 0 0 NaN
Jun 12th 16:46:38.465 UTC 2 15 36 926 918 2450.138 3654.399 0 290.6382 135.1398 0 0 79 0 0 1035 371.1852 1.793165
Jun 12th 16:46:30.853 UTC 3 12 0 592 589 1542.101 2752.677 10 200.4349 14.96829 2 2 87 0 0 0 0 NaN
Jun 12th 16:45:38.465 UTC 2 15 36 924 916 2443.141 3646.711 0 291.0485 134.801 0 0 79 0 0 1035 371.1852 1.793165
Jun 12th 16:45:30.851 UTC 3 9 1 592 588 1542.101 2749.926 10 200.4349 15.05705 2 2 87 0 0 0 0 NaN
Jun 12th 16:44:38.466 UTC 2 14 40 922 912 2438.716 3632.875 0 291.2872 134.5987 0 0 79 0 0 1035 371.1852 1.793165
Jun 12th 16:44:30.850 UTC 3 7 1 592 586 1542.101 2745.289 10 200.4349 15.11692 2 2 87 0 0 0 0 NaN
Jun 12th 16:43:38.465 UTC 2 15 39 918 910 2429.693 3623.228 0 291.0663 134.7065 0 0 79 0 0 1030 370.3752 1.797938
Jun 12th 16:43:30.839 UTC 3 6 0 591 585 1540.751 2740.474 10 200.7085 15.16397 2 2 87 0 0 0 0 NaN
Jun 12th 16:42:38.465 UTC 2 15 39 916 908 2427.253 3612.729 0 291.4282 134.8869 0 0 79 0 0 1025 369.6552 1.803196
Jun 12th 16:42:30.116 UTC 3 4 0 589 585 1535.661 2740.474 10 200.835 15.19453 2 2 86 0 0 0 0 NaN
Jun 12th 16:41:38.466 UTC 2 15 37 912 906 2418.985 3606.372 0 291.8477 135.0684 0 0 79 0 0 1025 369.6552 1.803196
Jun 12th 16:41:30.107 UTC 3 4 0 588 584 1531.679 2738.502 10 200.9145 15.21451 2 2 86 0 0 0 0 NaN
Jun 12th 16:40:38.455 UTC 2 15 34 910 904 2415.61 3596.592 0 292.0092 135.3289 0 0 79 0 0 1025 369.6552 1.803196
Jun 12th 16:40:28.146 UTC 3 6 1 587 582 1530.329 2728.341 10 201.1189 15.21451 2 2 84 0 0 0 0 NaN
Jun 12th 16:39:38.466 UTC 2 11 37 909 903 2413.158 3592.003 0 292.1742 135.502 0 0 79 0 0 1025 369.6552 1.803196
Jun 12th 16:39:28.141 UTC 3 7 1 586 579 1528.304 2717.048 10 201.1327 15.25792 2 2 84 0 0 0 0 NaN
Jun 12th 16:38:37.485 UTC 2 15 40 906 896 2404.64 3566.534 0 292.2962 135.7358 0 0 78 0 0 1015 358.1014 1.764046
Jun 12th 16:38:26.336 UTC 3 8 0 585 577 1527.704 2706.214 10 201.3439 15.27631 2 2 82 0 0 0 0 NaN
Jun 12th 16:37:37.485 UTC 2 14 39 904 896 2401.78 3566.534 0 292.6037 135.8763 0 0 78 0 0 1005 353.8114 1.760256
Jun 12th 16:37:26.346 UTC 3 9 1 583 575 1522.255 2697.41 10 201.5507 15.29623 2 2 82 0 0 0 0 NaN
Jun 12th 16:36:37.497 UTC 2 15 40 900 892 2393.219 3548.236 0 293.1372 136.2171 0 0 78 0 0 995 350.0089 1.758839
Jun 12th 16:36:26.344 UTC 3 9 0 582 574 1519.6 2695.422 10 201.467 15.31281 2 2 82 0 0 0 0 NaN
Jun 12th 16:35:36.332 UTC 2 14 39 898 890 2391.419 3537.543 0 293.3297 136.4638 0 0 77 0 0 995 350.0089 1.758839
Jun 12th 16:35:26.334 UTC 3 8 1 581 573 1516.135 2691.254 10 201.5331 15.34523 2 2 82 0 0 0 0 NaN
Jun 12th 16:34:35.149 UTC 2 15 37 895 888 2375.666 3529.763 0 293.5053 136.5874 0 0 76 0 0 995 350.0089 1.758839
