dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown penalties rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 16th 23:29:54.621 UTC 3 14 0 624 615 1638.421 2840.519 5 196.6386 13.38442 1 0 93 0 0 0 0 NaN 0 NaN
Jun 16th 23:29:42.804 UTC 2 15 39 859 850 1941.434 3764.632 0 996.9393 822.5832 0 0 58 0 0 1530 0 0 809.0406 2.643924
Jun 16th 23:28:54.631 UTC 3 13 0 622 615 1632.939 2840.519 5 196.8434 13.39524 1 0 93 0 0 0 0 NaN 0 NaN
Jun 16th 23:28:41.771 UTC 2 15 39 857 848 1938.261 3756.737 0 996.9375 822.5234 0 0 57 0 0 1525 0 0 804.5181 2.637764
Jun 16th 23:27:54.630 UTC 3 13 0 618 613 1618.095 2835.059 5 196.9498 13.43451 1 0 93 0 0 0 0 NaN 0 NaN
Jun 16th 23:27:41.770 UTC 2 15 40 854 846 1932.967 3746.177 0 996.6808 822.4982 0 0 57 0 0 1515 0 0 799.4481 2.638443
Jun 16th 23:26:54.621 UTC 3 12 0 616 611 1616.295 2823.476 5 196.848 13.46907 1 0 93 0 0 0 0 NaN 0 NaN
Jun 16th 23:26:41.781 UTC 2 14 39 853 845 1931.659 3740.568 0 996.7242 822.5056 0 0 57 0 0 1515 0 0 799.4481 2.638443
Jun 16th 23:25:54.011 UTC 3 14 0 615 608 1614.525 2810.191 5 197.0434 13.48814 1 0 92 0 0 0 0 NaN 0 NaN
Jun 16th 23:25:41.772 UTC 2 15 39 849 843 1923.153 3727.723 0 996.3624 822.4877 0 0 57 0 0 1505 0 0 793.7593 2.637074
Jun 16th 23:24:54.001 UTC 3 11 0 612 607 1606.845 2805.139 5 196.8017 13.52865 1 0 92 0 0 0 0 NaN 0 NaN
Jun 16th 23:24:41.773 UTC 2 15 40 847 841 1915.491 3721.37 0 996.1627 822.488 0 0 57 0 0 1500 0 0 792.4193 2.641398
Jun 16th 23:23:54.001 UTC 3 11 0 612 605 1606.845 2797.819 5 196.8017 13.56455 1 0 92 0 0 0 0 NaN 0 NaN
Jun 16th 23:23:41.762 UTC 2 15 38 845 840 1912.841 3718.893 0 996.2183 822.5156 0 0 57 0 0 1500 0 0 792.4193 2.641398
