dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown penalties rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 16th 23:20:00.536 UTC 3 7 0 587 582 1547.399 2730.214 0 197.2835 10.43531 0 0 89 0 0 0 0 NaN 0 NaN
Jun 16th 23:19:46.944 UTC 2 15 39 850 842 2895.151 3691.329 0 365.6719 192.1298 0 0 64 0 0 3175 641.5354 1.010292 373.6373 0.5884051
Jun 16th 23:19:00.556 UTC 3 7 0 587 581 1547.399 2727.074 0 197.2835 10.44223 0 0 89 0 0 0 0 NaN 0 NaN
Jun 16th 23:18:46.943 UTC 2 15 44 847 839 2889.629 3673.605 0 360.3409 192.6846 0 0 64 0 0 3100 622.1345 1.003443 359.6363 0.5800585
Jun 16th 23:18:00.546 UTC 3 9 0 585 579 1542.022 2713.422 0 197.257 10.44223 0 0 89 0 0 0 0 NaN 0 NaN
Jun 16th 23:17:46.951 UTC 2 14 41 847 838 2889.629 3668.142 0 360.3409 193.1066 0 0 64 0 0 3030 603.6501 0.9961222 341.3154 0.5632268
Jun 16th 23:17:00.546 UTC 3 10 0 584 577 1541.122 2707.726 0 197.373 10.45269 0 0 89 0 0 0 0 NaN 0 NaN
Jun 16th 23:16:46.940 UTC 2 15 41 845 835 2886.194 3653.594 0 360.6672 193.4672 0 0 64 0 0 2995 594.8055 0.9929976 332.4709 0.5550432
Jun 16th 23:15:59.535 UTC 3 13 0 583 574 1539.922 2700.38 0 197.191 10.45269 0 0 88 0 0 0 0 NaN 0 NaN
Jun 16th 23:15:46.952 UTC 2 15 39 841 835 2879.889 3653.594 0 355.9423 193.4672 0 0 64 0 0 2980 592.2778 0.9937546 330.0521 0.5537787
Jun 16th 23:14:57.811 UTC 3 13 1 580 572 1532.298 2692.076 0 197.1003 10.47163 0 0 86 0 0 0 0 NaN 0 NaN
Jun 16th 23:14:46.941 UTC 2 14 39 839 835 2872.213 3653.594 0 356.179 192.0109 0 0 64 0 0 2980 592.2778 0.9937546 330.0521 0.5537787
Jun 16th 23:13:57.811 UTC 3 11 0 576 572 1519.143 2692.076 0 197.6731 10.4935 0 0 86 0 0 0 0 NaN 0 NaN
Jun 16th 23:13:46.940 UTC 2 15 39 837 831 2867.113 3635.841 0 355.3112 185.4689 0 0 64 0 0 2965 590.0387 0.9950062 327.8131 0.5528046
Jun 16th 23:12:57.804 UTC 3 10 1 574 571 1510.166 2690.226 0 197.6754 10.50692 0 0 86 0 0 0 0 NaN 0 NaN
Jun 16th 23:12:46.929 UTC 2 15 38 836 829 2864.458 3626.376 0 355.4355 185.8353 0 0 64 0 0 2965 590.0387 0.9950062 327.8131 0.5528046
Jun 16th 23:11:56.753 UTC 3 12 0 573 567 1502.538 2676.909 0 197.588 10.52408 0 0 85 0 0 0 0 NaN 0 NaN
Jun 16th 23:11:46.949 UTC 2 15 38 834 827 2860.588 3615.054 0 353.9803 185.1013 0 0 64 0 0 2965 590.0387 0.9950062 327.8131 0.5528046
Jun 16th 23:10:56.750 UTC 3 9 0 570 567 1497.918 2676.909 0 197.9246 10.56035 0 0 85 0 0 0 0 NaN 0 NaN
Jun 16th 23:10:46.939 UTC 2 15 39 831 824 2846.379 3598.773 0 354.4303 184.3918 0 0 64 0 0 2960 589.4943 0.9957674 327.2687 0.5528187
Jun 16th 23:09:56.740 UTC 3 8 1 568 566 1489.998 2669.276 0 198.172 10.57604 0 0 85 0 0 0 0 NaN 0 NaN
Jun 16th 23:09:46.938 UTC 2 14 39 830 823 2842.659 3593.164 0 354.4786 181.9546 0 0 64 0 0 2955 588.7108 0.9961265 326.4852 0.5524284
Jun 16th 23:08:56.740 UTC 3 11 1 568 561 1489.998 2642.346 0 198.172 10.58579 0 0 85 0 0 0 0 NaN 0 NaN
Jun 16th 23:08:45.692 UTC 2 15 39 829 820 2837.462 3581.554 0 354.6064 182.2314 0 0 63 0 0 2950 588.1663 0.9968921 325.9407 0.5524419
Jun 16th 23:07:56.740 UTC 3 9 0 567 561 1486.278 2642.346 0 198.1464 10.61307 0 0 85 0 0 0 0 NaN 0 NaN
Jun 16th 23:07:45.683 UTC 2 14 40 826 817 2826.987 3564.868 0 355.2021 182.7963 0 0 63 0 0 2950 588.1663 0.9968921 325.9407 0.5524419
