dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown penalties rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 16th 23:19:39.022 UTC 2 15 52 953 946 2555.04 3706.425 0 339.243 185.1742 0 0 78 0 0 1445 576.2575 1.993971 334.7944 1.158458
Jun 16th 23:19:35.207 UTC 3 11 0 641 632 1714.214 2995.701 10 197.9391 10.71928 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:18:39.021 UTC 2 15 54 949 941 2537.818 3693.778 0 340.0121 185.2543 0 0 78 0 0 1430 572.3903 2.001365 334.9772 1.171249
Jun 16th 23:18:35.217 UTC 3 9 0 639 631 1712.814 2989.146 10 197.814 10.73533 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:17:39.020 UTC 2 15 55 948 937 2537.098 3681.103 0 339.8257 185.9387 0 0 78 0 0 1410 564.8679 2.003078 331.5048 1.175549
Jun 16th 23:17:35.219 UTC 3 10 0 637 629 1708.899 2978.488 10 197.9219 10.7459 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:16:39.010 UTC 2 15 53 944 934 2530.653 3673.339 0 340.7129 186.4859 0 0 78 0 0 1385 558.4226 2.015966 331.8095 1.197868
Jun 16th 23:16:35.209 UTC 3 11 0 636 628 1706.419 2972.39 10 197.9985 10.7459 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:15:39.011 UTC 2 14 53 939 932 2518.874 3661.857 0 341.8322 186.8779 0 0 78 0 0 1365 553.8337 2.028695 331.2707 1.213446
Jun 16th 23:15:35.207 UTC 3 9 1 634 627 1701.106 2965.615 10 197.913 10.77312 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:14:39.020 UTC 2 15 54 936 928 2509.717 3645.592 0 342.2898 187.0859 0 0 78 0 0 1355 551.2556 2.034153 331.3926 1.222851
Jun 16th 23:14:35.217 UTC 3 11 0 634 623 1701.106 2951.6 10 197.913 10.78045 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:13:39.021 UTC 2 15 55 934 923 2504.099 3628.554 0 342.4899 187.7854 0 0 78 0 0 1335 546.0994 2.045316 331.6364 1.242084
Jun 16th 23:13:35.218 UTC 3 10 0 633 622 1699.336 2943.964 10 197.8095 10.79872 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:12:39.010 UTC 2 15 50 931 923 2494.038 3628.554 0 343.3603 187.7854 0 0 78 0 0 1310 539.6541 2.059748 331.9411 1.266951
Jun 16th 23:12:35.217 UTC 3 11 0 630 621 1688.457 2942.231 10 197.939 10.79872 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:11:39.010 UTC 2 15 48 928 920 2482.423 3617.079 0 340.5703 188.3703 0 0 78 0 0 1285 533.2087 2.074742 332.2458 1.292785
Jun 16th 23:11:35.208 UTC 3 12 0 627 619 1678.803 2933.972 10 197.8693 10.80484 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:10:39.021 UTC 2 15 48 925 916 2477.08 3597.881 0 340.6224 188.9471 0 0 78 0 0 1265 528.0525 2.087164 332.4896 1.314188
Jun 16th 23:10:35.217 UTC 3 10 1 626 619 1676.793 2933.972 10 198.0676 10.83113 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:09:39.010 UTC 2 15 48 923 914 2470.532 3588.86 0 341.0286 189.2735 0 0 78 0 0 1255 525.4744 2.093523 332.4765 1.324608
Jun 16th 23:09:35.216 UTC 3 9 0 625 617 1672.653 2929.639 10 198.0175 10.85603 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:08:39.010 UTC 2 15 43 921 914 2464.066 3588.86 0 340.9101 189.2735 0 0 78 0 0 1230 519.0291 2.109874 332.1063 1.350026
Jun 16th 23:08:35.209 UTC 3 11 0 623 615 1666.811 2916.431 10 198.1102 10.85603 2 3 91 0 0 0 0 NaN 0 NaN
Jun 16th 23:07:36.958 UTC 2 15 47 918 910 2454.702 3577.768 0 341.1249 186.4503 0 0 76 0 0 1220 516.4509 2.116602 331.9583 1.360485
Jun 16th 23:07:34.383 UTC 3 14 0 622 610 1659.183 2891.607 10 198.334 10.87274 2 3 90 0 0 0 0 NaN 0 NaN
Jun 16th 23:06:36.958 UTC 2 15 47 915 908 2449.87 3568.788 0 340.9804 186.7972 0 0 76 0 0 1210 513.8728 2.123441 331.8102 1.371116
Jun 16th 23:06:34.375 UTC 3 13 0 620 607 1650.071 2876.558 10 198.6529 10.92211 2 3 90 0 0 0 0 NaN 0 NaN
Jun 16th 23:05:36.968 UTC 2 15 46 912 907 2438.744 3563.369 0 341.687 186.9946 0 0 76 0 0 1195 508.8761 2.129189 329.2436 1.377588
Jun 16th 23:05:33.491 UTC 3 12 0 618 606 1642.631 2874.931 10 198.8327 10.94213 2 3 89 0 0 0 0 NaN 0 NaN
Jun 16th 23:04:36.958 UTC 2 15 49 909 902 2430.7 3539.184 0 342.1771 187.2592 0 0 76 0 0 1180 504.593 2.138106 327.3905 1.387248
Jun 16th 23:04:32.746 UTC 3 13 0 615 604 1633.597 2867.514 10 199.1731 10.95609 2 3 88 0 0 0 0 NaN 0 NaN
Jun 16th 23:03:36.958 UTC 2 15 49 908 899 2427.021 3533.133 0 342.3643 187.5394 0 0 76 0 0 1165 500.7258 2.149038 327.1684 1.404156
Jun 16th 23:03:32.755 UTC 3 11 0 612 603 1625.172 2860.488 10 199.3964 10.9793 2 3 88 0 0 0 0 NaN 0 NaN
Jun 16th 23:02:36.958 UTC 2 13 51 906 896 2423.871 3520.238 0 342.7972 188.0679 0 0 76 0 0 1145 494.4673 2.159246 324.1499 1.415502
Jun 16th 23:02:32.755 UTC 3 10 1 612 603 1625.172 2857.836 10 199.3964 10.99543 2 2 88 0 0 0 0 NaN 0 NaN
Jun 16th 23:01:36.969 UTC 2 15 51 903 892 2416.716 3502.348 0 343.3317 188.3594 0 0 76 0 0 1135 491.8891 2.166913 323.7318 1.426131
Jun 16th 23:01:32.745 UTC 3 8 0 609 603 1614.731 2857.836 10 198.4051 11.0019 2 2 88 0 0 0 0 NaN 0 NaN
Jun 16th 23:00:36.969 UTC 2 15 47 897 891 2403.705 3497.628 0 340.4886 188.5266 0 0 76 0 0 1105 483.0525 2.185758 320.2953 1.4493
Jun 16th 23:00:32.747 UTC 3 11 1 607 599 1610.321 2850.164 10 198.1515 11.00757 2 2 88 0 0 0 0 NaN 0 NaN
Jun 16th 22:59:36.958 UTC 2 15 45 896 890 2395.335 3492.902 0 340.6876 188.6898 0 0 76 0 0 1090 479.1853 2.198098 319.6681 1.466367
