dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:29:25.233 UTC 14 9 2 0 426 425 1047.959 1716.814 5 434.2162 266.7876 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:29:21.049 UTC 6 8 17 35 529 522 1276.806 2604.829 10 636.1942 441.1718 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:29:16.131 UTC 2 5 9 0 604 595 1520.778 2879.287 21.45243 466.4501 275.5118 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:29:05.554 UTC 3 16 20 0 627 616 1597.295 3206.615 0 453.3653 245.3011 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:29:05.467 UTC 22 17 16 0 543 530 1444.716 2281.672 5 268.9193 80.48997 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:29:05.442 UTC 19 15 20 5 633 619 1784.329 2724.009 5 288.7581 115.0975 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:29:05.385 UTC 1 3 19 10 746 735 1936.917 3532.735 15 491.4201 297.8837 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:29:05.109 UTC 21 20 16 0 608 601 1669.819 2646.161 20 311.6632 132.2592 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:28:25.234 UTC 14 9 7 0 426 420 1047.959 1697.348 5 434.2162 266.7876 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:28:21.068 UTC 6 8 19 37 527 518 1268.841 2588.659 10 635.489 440.8606 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:28:16.132 UTC 2 5 11 0 603 593 1518.123 2871.054 21.45243 466.8286 275.5118 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:28:13.554 UTC 10 22 19 45 276 264 699.5005 1294.222 0 802.419 614.4822 0 0 26 0 0 940 519.5426 2.763525 519.5426 2.763525
Jun 18th 02:28:05.544 UTC 3 16 19 3 624 614 1585.22 3198.682 0 454.0674 245.4353 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:28:05.478 UTC 22 17 20 0 539 526 1438.296 2262.203 5 268.9155 80.48997 1 1 0 0 0 0 0 NaN 0 NaN
