dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:30:07.433 UTC 18 18 20 37 721 709 2396.308 3609.526 10 652.7703 450.5798 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:30:04.480 UTC 3 19 20 231 595 588 1876.734 2785.231 10 1107.305 912.0461 2 0 18 0 1 464415 94941.67 1.022164 24212.92 0.2606819
Jun 18th 02:30:03.649 UTC 9 20 9 0 824 818 2119.849 3612.161 20 446.9192 266.2738 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:29:40.247 UTC 16 5 12 0 752 742 1989.87 3514.428 5 605.728 417.8736 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:29:38.039 UTC 4 24 20 42 869 862 2983.786 4859.808 5.113008 803.9651 576.4811 1 1 1 0 0 12620 2819.219 1.116965 2668.603 1.057291
Jun 18th 02:29:32.435 UTC 0 6 19 108 425 418 1526.905 1874.973 17.92176 514.3221 331.9512 3 1 22 0 6 29665 5286.014 0.8909512 4726.771 0.7966915
Jun 18th 02:29:29.672 UTC 15 14 17 92 553 545 2015.629 2766.127 0 662.4974 486.5573 0 0 17 0 1 43870 11611.69 1.32342 10813.5 1.232449
Jun 18th 02:29:29.582 UTC 22 4 20 258 760 745 2443.058 4233.012 0.1455382 937.3724 720.6267 0 1 7 0 1 296915 46982.33 0.7911748 2835.691 0.04775257
Jun 18th 02:29:28.778 UTC 5 17 14 0 754 747 2055.934 3100.127 30 281.8688 110.7268 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:29:28.526 UTC 17 3 19 6 949 937 2626.46 4571.127 10 685.0422 488.2411 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:29:28.450 UTC 21 15 18 0 858 845 2195.532 3770.455 15 397.6426 221.2021 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:29:28.309 UTC 12 16 20 0 820 810 2151.982 4206.139 0 547.7631 337.9122 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:29:21.141 UTC 14 8 19 10 758 750 2050.068 3607.134 0 636.2878 442.7672 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:29:07.424 UTC 18 18 20 38 720 708 2394.836 3604.707 10 651.6278 451.0435 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:29:04.477 UTC 3 19 18 236 594 585 1875.826 2769.266 10 1104.457 907.2502 2 0 18 0 1 459815 93956.98 1.021683 24227.29 0.2634461
Jun 18th 02:29:03.649 UTC 9 20 12 0 822 815 2115.954 3602.594 20 447.4799 266.2738 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:28:21.140 UTC 14 8 20 12 757 747 2048.043 3586.937 0 636.8457 441.9595 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:28:07.424 UTC 18 18 20 42 716 704 2382.686 3585.375 10 654.0956 452.8675 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:28:04.468 UTC 3 19 19 241 592 579 1871.263 2744.085 10 1103.704 913.9506 2 0 18 0 1 455090 92945.54 1.021178 24242.06 0.2663435
Jun 18th 02:28:03.662 UTC 9 20 14 0 820 813 2112.454 3598.487 20 448.0826 266.2738 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:27:40.254 UTC 16 5 13 1 745 740 1970.767 3509.207 5 609.316 418.4167 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:27:38.027 UTC 4 24 20 50 864 854 2967.226 4809.184 5.113008 806.6583 575.1682 1 1 1 0 0 12620 2819.219 1.116965 2668.603 1.057291
Jun 18th 02:27:32.422 UTC 0 6 20 116 420 407 1506.331 1830.435 17.92176 513.8578 327.4732 3 1 22 0 6 26150 4665.053 0.8919796 4214.236 0.8057812
Jun 18th 02:27:29.581 UTC 22 4 20 260 752 742 2423.961 4214.864 0.1455382 927.7202 723.1633 0 1 7 0 1 292710 46315.45 0.791149 2841.44 0.04853677
Jun 18th 02:27:28.767 UTC 5 17 15 1 751 745 2046.923 3094.495 30 282.3148 110.8587 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:27:28.530 UTC 17 3 20 7 940 934 2609.522 4561.222 10 689.5464 489.0959 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:27:28.461 UTC 21 15 19 1 850 842 2177.816 3764.947 15 399.9066 221.648 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:27:28.311 UTC 12 16 17 1 810 810 2136.932 4206.139 0 551.7638 339.076 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:27:21.141 UTC 14 8 19 17 755 743 2042.363 3568.298 0 637.9922 444.3022 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:27:07.424 UTC 18 18 20 41 712 704 2368.328 3585.375 10 655.8018 452.8675 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:27:04.468 UTC 3 19 20 236 587 578 1852.777 2737.243 10 1102.216 913.9506 2 0 18 0 1 451305 92135.53 1.020768 24253.02 0.2686987
Jun 18th 02:27:03.650 UTC 9 20 14 0 816 811 2102.869 3595.063 20 449.7286 266.9053 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:26:40.256 UTC 16 5 12 0 742 740 1958.932 3509.207 5 611.1173 418.9713 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
