dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 17th 18:50:02.891 UTC 14 14 1 0 677 676 1660.599 3404.867 0 573.28 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
Jun 17th 18:50:02.718 UTC 13 10 7 0 726 719 1804.297 3537.635 10 530.3015 337.061 2 0 8 0 0 380 205.0381 2.69787 192.1557 2.528365
Jun 17th 18:49:53.371 UTC 5 18 20 10 673 662 1721.612 3035.531 5 518.1274 341.4489 1 0 14 0 1 265 139.512 2.632301 129.5349 2.444054
Jun 17th 18:49:48.588 UTC 0 22 1 0 300 299 746.1705 1166.266 0 554.1366 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:49:44.939 UTC 4 9 1 0 400 399 1127.726 1680.783 5 237.368 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:49:42.829 UTC 8 8 19 0 529 520 1302.994 2358.796 0 452.9386 280.3575 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:49:42.651 UTC 9 23 2 0 741 739 1794.322 3702.231 10 525.4601 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:49:39.623 UTC 3 19 16 0 643 632 1693.331 2988.129 0 523.7842 356.1302 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:49:37.534 UTC 2 24 4 0 810 806 1979.418 4309.292 10 607.6887 396.8443 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:49:37.533 UTC 22 17 1 0 480 480 1269.633 2040.467 15 233.404 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:49:37.520 UTC 17 3 2 0 668 666 1715.795 3169.643 5 406.7752 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:49:37.479 UTC 6 16 0 0 589 588 1549.37 3005.808 5 366.339 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:49:37.442 UTC 20 15 1 0 569 568 1545.391 2563.883 0 268.2188 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:49:37.210 UTC 11 20 2 0 538 535 1407.632 2325.16 35.17241 247.1424 72.16878 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:49:32.598 UTC 1 11 1 0 455 451 1139.932 2161.23 7.881369 371.3884 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:49:28.144 UTC 15 5 3 0 561 558 1495.761 2724.541 15 339.7089 146.1346 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:49:22.377 UTC 19 2 1 0 581 580 1502.635 2548.833 10 300.0855 121.1289 2 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:49:18.783 UTC 16 6 14 0 469 462 1226.56 1995.219 5 379.2893 211.0247 1 0 18 0 2 0 0 NaN 0 NaN
Jun 17th 18:49:02.906 UTC 14 14 2 0 677 675 1660.599 3399.998 0 573.28 375.3024 0 0 9 0 1 235 114.5801 2.437875 89.5304 1.904902
