dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties fDel fRet fLaunch collisions unknown total
May 30th 02:39:49.556 UTC C_2 15 39 861 856 113294 3732.814 0 0 0 48 0 0 3444
May 30th 02:39:33.221 UTC C_3 15 39 816 810 110269 3674.619 169224.9 4 0 109 0 0 1923
May 30th 02:38:49.578 UTC C_2 15 40 861 852 113294 3725.886 0 0 0 48 0 0 3436
May 30th 02:38:32.370 UTC C_3 15 39 812 806 109620 3667.506 169224.9 4 0 108 0 0 1917
May 30th 02:37:49.568 UTC C_2 14 39 858 851 112877 3722.756 0 0 0 48 0 0 3426
May 30th 02:37:32.381 UTC C_3 14 38 809 803 109064 3660.431 169224.9 4 0 108 0 0 1912
May 30th 02:36:49.565 UTC C_2 14 40 853 846 112137 3698.174 0 0 0 48 0 0 3417
May 30th 02:36:31.669 UTC C_3 14 40 807 800 108707 3647.029 169224.9 4 0 107 0 0 1908
May 30th 02:35:49.566 UTC C_2 15 40 852 843 111953 3687.708 0 0 0 48 0 0 3407
May 30th 02:35:30.737 UTC C_3 14 40 803 797 108353 3632.426 169224.9 4 0 106 0 0 1901
May 30th 02:34:49.575 UTC C_2 15 40 850 842 111833 3683.833 0 0 0 48 0 0 3397
May 30th 02:34:30.737 UTC C_3 13 39 801 794 108110 3618.701 169224.9 4 0 106 0 0 1896
May 30th 02:33:49.567 UTC C_2 15 40 846 838 111356 3667.026 0 0 0 48 0 0 3388
May 30th 02:33:29.934 UTC C_3 14 37 800 791 108050 3606.84 169224.9 4 0 105 0 0 1890
May 30th 02:32:49.566 UTC C_2 15 40 844 836 111138 3659.875 0 0 0 48 0 0 3376
May 30th 02:32:29.923 UTC C_3 15 40 799 786 107873 3581.872 169224.9 4 0 105 0 0 1889
May 30th 02:31:49.566 UTC C_2 15 40 841 834 110772 3649.069 0 0 0 48 0 0 3363
May 30th 02:31:29.934 UTC C_3 15 40 795 786 107191 3581.872 169224.9 4 0 105 0 0 1887
May 30th 02:30:49.566 UTC C_2 15 39 838 831 110381 3638.385 0 0 0 48 0 0 3352
May 30th 02:30:29.934 UTC C_3 14 40 792 785 106917 3578.378 169224.9 4 0 105 0 0 1881
May 30th 02:29:49.566 UTC C_2 14 40 836 828 110073 3625.761 0 0 0 48 0 0 3343
May 30th 02:29:29.933 UTC C_3 15 40 789 783 106551 3570.888 169224.9 4 0 105 0 0 1875
May 30th 02:28:49.575 UTC C_2 15 40 834 826 109855 3614.745 0 0 0 48 0 0 3334
May 30th 02:28:29.931 UTC C_3 14 39 786 780 106253 3556.222 169224.9 4 0 105 0 0 1870
May 30th 02:27:49.576 UTC C_2 15 39 830 825 109429 3610.504 0 0 0 48 0 0 3323
May 30th 02:27:28.247 UTC C_3 15 40 784 777 105899 3542.801 169224.9 4 0 103 0 0 1865
May 30th 02:26:49.556 UTC C_2 15 40 829 820 109203 3591.747 0 0 0 48 0 0 3313
May 30th 02:26:28.238 UTC C_3 15 40 783 775 105819 3539.657 169224.9 4 0 103 0 0 1860
May 30th 02:25:49.577 UTC C_2 15 40 827 818 109063 3577.371 0 0 0 48 0 0 3304
May 30th 02:25:28.248 UTC C_3 14 39 782 772 105710 3521.758 169224.9 4 0 103 0 0 1855
May 30th 02:24:49.567 UTC C_2 14 40 823 816 108567 3566.177 0 0 0 48 0 0 3291
May 30th 02:24:28.247 UTC C_3 15 40 777 769 105037 3509.843 169224.9 4 0 103 0 0 1854
May 30th 02:23:49.565 UTC C_2 15 39 822 812 108487 3555.139 0 0 0 48 0 0 3279
May 30th 02:23:28.237 UTC C_3 15 39 773 766 104537 3499.232 169224.9 4 0 103 0 0 1848
May 30th 02:22:49.576 UTC C_2 15 40 820 810 108273 3548.418 0 0 0 48 0 0 3271
May 30th 02:22:28.234 UTC C_3 15 40 773 763 104537 3485.335 169224.9 4 0 103 0 0 1843
May 30th 02:21:49.568 UTC C_2 15 39 816 808 107879 3538.021 0 0 0 48 0 0 3259
May 30th 02:21:27.352 UTC C_3 15 39 771 761 104202 3475.79 169224.9 4 0 102 0 0 1836
May 30th 02:20:49.567 UTC C_2 15 40 813 805 107409 3524.893 0 0 0 48 0 0 3252
May 30th 02:20:25.809 UTC C_3 14 40 766 759 103458 3465.524 169224.9 4 0 100 0 0 1830
May 30th 02:19:49.578 UTC C_2 15 40 810 804 106947 3519.791 0 0 0 48 0 0 3245
May 30th 02:19:25.811 UTC C_3 15 39 764 757 103102 3460.891 169224.9 4 0 100 0 0 1823
May 30th 02:18:49.578 UTC C_2 15 40 809 802 106838 3506.289 0 0 0 48 0 0 3236
May 30th 02:18:25.820 UTC C_3 15 40 764 756 103102 3456.73 169224.9 4 0 100 0 0 1817
May 30th 02:17:49.565 UTC C_2 15 40 806 799 106326 3495.605 0 0 0 48 0 0 3231
May 30th 02:17:25.098 UTC C_3 14 36 759 753 102477 3449.17 169224.9 4 0 99 0 0 1805
May 30th 02:16:49.574 UTC C_2 14 40 806 796 106326 3481.111 0 0 0 48 0 0 3221
May 30th 02:16:25.097 UTC C_3 13 37 756 750 102138 3435.161 169224.9 4 0 99 0 0 1802
May 30th 02:15:49.565 UTC C_2 15 40 803 795 105909 3475.485 0 0 0 48 0 0 3209
May 30th 02:15:23.994 UTC C_3 15 37 754 747 101881 3417.629 169224.9 4 0 98 0 0 1800
May 30th 02:14:49.565 UTC C_2 15 40 801 792 105749 3457.557 0 0 0 48 0 0 3197
May 30th 02:14:23.994 UTC C_3 12 37 753 745 101772 3409.469 169224.9 4 0 98 0 0 1795
May 30th 02:13:49.574 UTC C_2 15 40 798 790 105403 3452.723 0 0 0 48 0 0 3188
May 30th 02:13:20.608 UTC C_3 13 40 752 742 101593 3394.64 169224.9 4 0 94 0 0 1791
May 30th 02:12:49.566 UTC C_2 14 40 795 789 105106 3449.532 0 0 0 48 0 0 3178
May 30th 02:12:18.778 UTC C_3 15 40 749 738 101159 3370.953 169224.9 4 0 92 0 0 1786
May 30th 02:11:49.566 UTC C_2 15 40 793 786 104966 3433.378 0 0 0 48 0 0 3166
May 30th 02:11:18.779 UTC C_3 14 40 746 737 100919 3368.831 169224.9 4 0 92 0 0 1780
May 30th 02:10:49.576 UTC C_2 14 39 791 785 104777 3426.428 0 0 0 48 0 0 3161
May 30th 02:10:17.831 UTC C_3 15 40 744 734 100537 3352.409 169224.9 4 0 91 0 0 1771
May 30th 02:09:48.576 UTC C_2 14 40 789 781 104617 3410.402 0 0 0 47 0 0 3152
May 30th 02:09:17.841 UTC C_3 15 40 740 733 100140 3350.281 169224.9 4 0 91 0 0 1768
May 30th 02:08:48.588 UTC C_2 15 40 787 778 104436 3389 0 0 0 47 0 0 3140
May 30th 02:08:17.840 UTC C_3 14 40 737 731 99774 3342.434 169224.9 4 0 91 0 0 1761
May 30th 02:07:47.648 UTC C_2 15 40 784 775 103905 3376.446 0 0 0 46 0 0 3134
May 30th 02:07:17.063 UTC C_3 15 40 736 728 99714 3333.917 169224.9 4 0 90 0 0 1754
May 30th 02:06:47.650 UTC C_2 15 39 784 775 103905 3376.446 0 0 0 46 0 0 3121
May 30th 02:06:17.074 UTC C_3 14 40 734 726 99446 3320.75 169224.9 4 0 90 0 0 1750
May 30th 02:05:47.660 UTC C_2 15 39 780 771 103556 3357.889 0 0 0 46 0 0 3112
May 30th 02:05:17.074 UTC C_3 14 40 730 723 98972 3307.255 169224.9 4 0 90 0 0 1744
May 30th 02:04:47.651 UTC C_2 15 40 778 770 103225 3353.855 0 0 0 46 0 0 3105
May 30th 02:04:17.067 UTC C_3 14 40 728 721 98719 3291.331 169224.9 4 0 90 0 0 1739
